old 2 Epoch 38/120 | Train Loss=0.6200 Acc=0.8825 | Val Loss=0.4552 Acc=0.7654
Fold 2 Epoch 39/120 | Train Loss=0.6508 Acc=0.8628 | Val Loss=0.4361 Acc=0.7962
Fold 2 Epoch 40/120 | Train Loss=0.6103 Acc=0.8795 | Val Loss=0.6323 Acc=0.7654
Fold 2 Epoch 41/120 | Train Loss=0.6487 Acc=0.8919 | Val Loss=0.5091 Acc=0.7538
Fold 2 Epoch 42/120 | Train Loss=0.6566 Acc=0.8701 | Val Loss=0.4177 Acc=0.7808
Fold 2 Epoch 43/120 | Train Loss=0.6079 Acc=0.9061 | Val Loss=0.4267 Acc=0.8038 [NEW GLOBAL BEST!]
Fold 2 Epoch 44/120 | Train Loss=0.5994 Acc=0.9048 | Val Loss=0.4443 Acc=0.7808
Fold 2 Epoch 45/120 | Train Loss=0.6135 Acc=0.8894 | Val Loss=0.5170 Acc=0.7846
Fold 2 Epoch 46/120 | Train Loss=0.6049 Acc=0.9039 | Val Loss=0.4811 Acc=0.8115 [NEW GLOBAL BEST!]
Fold 2 Epoch 47/120 | Train Loss=0.6005 Acc=0.9078 | Val Loss=0.5151 Acc=0.7731
Fold 2 Epoch 48/120 | Train Loss=0.5995 Acc=0.9202 | Val Loss=0.4351 Acc=0.7962
Fold 2 Epoch 49/120 | Train Loss=0.6306 Acc=0.9194 | Val Loss=0.5031 Acc=0.7692
Fold 2 Epoch 50/120 | Train Loss=0.6149 Acc=0.9168 | Val Loss=0.4865 Acc=0.7615
Fold 2 Epoch 51/120 | Train Loss=0.6430 Acc=0.9078 | Val Loss=0.5682 Acc=0.7346
Fold 2 Epoch 52/120 | Train Loss=0.6863 Acc=0.8979 | Val Loss=0.5023 Acc=0.7808
Fold 2 Epoch 53/120 | Train Loss=0.6573 Acc=0.8992 | Val Loss=0.4506 Acc=0.7885
Fold 2 Epoch 54/120 | Train Loss=0.6174 Acc=0.9142 | Val Loss=0.4506 Acc=0.8077
Fold 2 Epoch 55/120 | Train Loss=0.6196 Acc=0.9181 | Val Loss=0.4796 Acc=0.8000
Fold 2 Epoch 56/120 | Train Loss=0.6249 Acc=0.9190 | Val Loss=0.7361 Acc=0.7654
Fold 2 Epoch 57/120 | Train Loss=0.5845 Acc=0.9254 | Val Loss=0.5128 Acc=0.7885
Fold 2 Epoch 58/120 | Train Loss=0.5613 Acc=0.9400 | Val Loss=0.4834 Acc=0.7962
Fold 2 Epoch 59/120 | Train Loss=0.5477 Acc=0.9468 | Val Loss=0.4444 Acc=0.8231 [NEW GLOBAL BEST!]
Fold 2 Epoch 60/120 | Train Loss=0.5380 Acc=0.9554 | Val Loss=0.5218 Acc=0.7923
Fold 2 Epoch 61/120 | Train Loss=0.5336 Acc=0.9567 | Val Loss=0.4779 Acc=0.8077
Fold 2 Epoch 62/120 | Train Loss=0.5613 Acc=0.9558 | Val Loss=0.4648 Acc=0.8231
Fold 2 Epoch 63/120 | Train Loss=0.5703 Acc=0.9537 | Val Loss=0.4685 Acc=0.8077
Fold 2 Epoch 64/120 | Train Loss=0.5481 Acc=0.9648 | Val Loss=0.4628 Acc=0.7962
Fold 2 Epoch 65/120 | Train Loss=0.5533 Acc=0.9623 | Val Loss=0.4820 Acc=0.8000
Fold 2 Epoch 66/120 | Train Loss=0.5678 Acc=0.9554 | Val Loss=0.4454 Acc=0.7962
Fold 2 Epoch 67/120 | Train Loss=0.5517 Acc=0.9434 | Val Loss=0.4985 Acc=0.7962
Fold 2 Epoch 68/120 | Train Loss=0.5516 Acc=0.9507 | Val Loss=0.4605 Acc=0.7962
Fold 2 Epoch 69/120 | Train Loss=0.5624 Acc=0.9593 | Val Loss=0.4715 Acc=0.8077
Fold 2 Epoch 70/120 | Train Loss=0.5658 Acc=0.9597 | Val Loss=0.5804 Acc=0.7769
Fold 2 Epoch 71/120 | Train Loss=0.5481 Acc=0.9644 | Val Loss=0.5627 Acc=0.7923
Fold 2 Epoch 72/120 | Train Loss=0.5296 Acc=0.9811 | Val Loss=0.4961 Acc=0.8000
Fold 2 Epoch 73/120 | Train Loss=0.5605 Acc=0.9691 | Val Loss=0.4706 Acc=0.8077
Fold 2 Epoch 74/120 | Train Loss=0.5481 Acc=0.9648 | Val Loss=0.4545 Acc=0.8038
Fold 2 Epoch 75/120 | Train Loss=0.5296 Acc=0.9730 | Val Loss=0.4701 Acc=0.8115
Fold 2 Epoch 76/120 | Train Loss=0.5727 Acc=0.9700 | Val Loss=0.4596 Acc=0.8038
Fold 2 Epoch 77/120 | Train Loss=0.5281 Acc=0.9721 | Val Loss=0.4600 Acc=0.8038
Fold 2 Epoch 78/120 | Train Loss=0.5359 Acc=0.9751 | Val Loss=0.4841 Acc=0.8269 [NEW GLOBAL BEST!]
Fold 2 Epoch 79/120 | Train Loss=0.5870 Acc=0.9605 | Val Loss=0.4531 Acc=0.8231
Fold 2 Epoch 80/120 | Train Loss=0.5578 Acc=0.9721 | Val Loss=0.4792 Acc=0.8038
Fold 2 Epoch 81/120 | Train Loss=0.5601 Acc=0.9696 | Val Loss=0.5553 Acc=0.8038
Fold 2 Epoch 82/120 | Train Loss=0.5886 Acc=0.9533 | Val Loss=0.4999 Acc=0.8115
