Trial  | True     | Pred     | Conf   | Result
----------------------------------------------------------------------
#1     | Left     | Tongue   | 0.95   | ❌
#2     | Right    | Right    | 1.00   | ✅
#3     | Right    | Right    | 0.70   | ✅
#4     | Left     | Left     | 0.98   | ✅
#5     | Right    | Right    | 0.96   | ✅
#6     | Left     | Left     | 1.00   | ✅
#7     | Right    | Right    | 0.70   | ✅
#8     | Foot     | Foot     | 0.96   | ✅
#9     | Right    | Right    | 1.00   | ✅
#10    | Tongue   | Foot     | 0.72   | ❌
#11    | Left     | Left     | 0.52   | ✅
#12    | Foot     | Foot     | 1.00   | ✅
#13    | Right    | Foot     | 0.99   | ❌
#14    | Left     | Left     | 0.95   | ✅
#15    | Tongue   | Foot     | 0.89   | ❌
#16    | Tongue   | Foot     | 0.75   | ❌
#17    | Tongue   | Foot     | 0.93   | ❌
#18    | Tongue   | Tongue   | 0.52   | ✅
#19    | Tongue   | Tongue   | 0.66   | ✅
#20    | Left     | Left     | 0.98   | ✅
#21    | Foot     | Foot     | 0.99   | ✅
#22    | Right    | Right    | 0.68   | ✅
#23    | Left     | Left     | 0.99   | ✅
#24    | Left     | Left     | 0.98   | ✅
#25    | Foot     | Foot     | 1.00   | ✅
#26    | Tongue   | Tongue   | 1.00   | ✅
#27    | Left     | Left     | 0.47   | ✅
#28    | Foot     | Foot     | 0.98   | ✅
#29    | Foot     | Foot     | 1.00   | ✅
#30    | Foot     | Foot     | 0.99   | ✅
#31    | Left     | Right    | 0.66   | ❌
#32    | Right    | Right    | 1.00   | ✅
#33    | Left     | Left     | 1.00   | ✅
#34    | Right    | Right    | 0.60   | ✅
#35    | Right    | Right    | 0.50   | ✅
#36    | Left     | Left     | 0.57   | ✅
#37    | Right    | Right    | 1.00   | ✅
#38    | Foot     | Foot     | 0.92   | ✅
#39    | Right    | Tongue   | 0.97   | ❌
#40    | Foot     | Foot     | 0.86   | ✅
#41    | Foot     | Foot     | 0.99   | ✅
#42    | Tongue   | Tongue   | 1.00   | ✅
#43    | Foot     | Foot     | 0.94   | ✅
#44    | Foot     | Foot     | 0.94   | ✅
#45    | Tongue   | Tongue   | 1.00   | ✅
#46    | Tongue   | Tongue   | 1.00   | ✅
#47    | Tongue   | Tongue   | 1.00   | ✅
#48    | Tongue   | Left     | 0.98   | ❌
#49    | Tongue   | Tongue   | 1.00   | ✅
#50    | Foot     | Foot     | 0.99   | ✅
#51    | Right    | Left     | 0.60   | ❌
#52    | Left     | Left     | 0.99   | ✅
#53    | Left     | Left     | 0.99   | ✅
#54    | Right    | Tongue   | 0.99   | ❌
#55    | Foot     | Foot     | 0.94   | ✅
#56    | Tongue   | Tongue   | 0.98   | ✅
#57    | Right    | Right    | 1.00   | ✅
#58    | Foot     | Right    | 0.87   | ❌
#59    | Left     | Left     | 0.99   | ✅
#60    | Left     | Left     | 0.99   | ✅
#61    | Left     | Right    | 0.90   | ❌
#62    | Tongue   | Tongue   | 1.00   | ✅
#63    | Right    | Right    | 0.99   | ✅
#64    | Right    | Right    | 1.00   | ✅
#65    | Left     | Left     | 0.99   | ✅
#66    | Left     | Left     | 1.00   | ✅
#67    | Foot     | Foot     | 1.00   | ✅
#68    | Left     | Foot     | 0.57   | ❌
#69    | Right    | Right    | 0.46   | ✅
#70    | Tongue   | Tongue   | 1.00   | ✅
#71    | Tongue   | Tongue   | 0.99   | ✅
#72    | Foot     | Foot     | 0.79   | ✅
#73    | Left     | Left     | 0.99   | ✅
#74    | Tongue   | Tongue   | 0.99   | ✅
#75    | Tongue   | Foot     | 1.00   | ❌
#76    | Right    | Foot     | 0.78   | ❌
#77    | Tongue   | Tongue   | 0.98   | ✅
#78    | Tongue   | Foot     | 0.99   | ❌
#79    | Right    | Right    | 0.99   | ✅
#80    | Left     | Left     | 0.73   | ✅
#81    | Right    | Right    | 0.99   | ✅
#82    | Foot     | Foot     | 0.94   | ✅
#83    | Foot     | Foot     | 1.00   | ✅
#84    | Foot     | Foot     | 0.99   | ✅
#85    | Tongue   | Tongue   | 1.00   | ✅
#86    | Foot     | Foot     | 0.99   | ✅
#87    | Left     | Right    | 0.98   | ❌
#88    | Tongue   | Tongue   | 1.00   | ✅
#89    | Right    | Right    | 0.96   | ✅
#90    | Foot     | Foot     | 0.99   | ✅
#91    | Right    | Right    | 0.99   | ✅
#92    | Foot     | Foot     | 0.64   | ✅
#93    | Tongue   | Tongue   | 1.00   | ✅
#94    | Right    | Right    | 1.00   | ✅
#95    | Foot     | Foot     | 0.94   | ✅
#96    | Left     | Foot     | 0.87   | ❌
#97    | Left     | Left     | 0.97   | ✅
