Fold 2 Epoch 36/120 | Train Loss=0.7356 Acc=0.8087 | Val Loss=0.7420 Acc=0.7154
Fold 2 Epoch 37/120 | Train Loss=0.7118 Acc=0.8302 | Val Loss=1.1850 Acc=0.7077
Fold 2 Epoch 38/120 | Train Loss=0.6934 Acc=0.8401 | Val Loss=0.7991 Acc=0.7308
Fold 2 Epoch 39/120 | Train Loss=0.6832 Acc=0.8413 | Val Loss=0.9293 Acc=0.7154
Fold 2 Epoch 40/120 | Train Loss=0.7096 Acc=0.8370 | Val Loss=0.7430 Acc=0.7423
Fold 2 Epoch 41/120 | Train Loss=0.6817 Acc=0.8482 | Val Loss=0.6533 Acc=0.7154
Fold 2 Epoch 42/120 | Train Loss=0.6776 Acc=0.8666 | Val Loss=1.5255 Acc=0.7115
Fold 2 Epoch 43/120 | Train Loss=0.7184 Acc=0.8495 | Val Loss=0.7401 Acc=0.6846
Fold 2 Epoch 44/120 | Train Loss=0.7667 Acc=0.8392 | Val Loss=0.7729 Acc=0.7346
Fold 2 Epoch 45/120 | Train Loss=0.7246 Acc=0.8546 | Val Loss=0.7514 Acc=0.7615 [NEW GLOBAL BEST!]
Fold 2 Epoch 46/120 | Train Loss=0.7055 Acc=0.8581 | Val Loss=0.8794 Acc=0.7500
Fold 2 Epoch 47/120 | Train Loss=0.6919 Acc=0.8623 | Val Loss=1.0546 Acc=0.7538
Fold 2 Epoch 48/120 | Train Loss=0.6854 Acc=0.8808 | Val Loss=0.8560 Acc=0.7346
Fold 2 Epoch 49/120 | Train Loss=0.6767 Acc=0.8881 | Val Loss=0.8931 Acc=0.7423
Fold 2 Epoch 50/120 | Train Loss=0.6943 Acc=0.8821 | Val Loss=1.2896 Acc=0.7154
Fold 2 Epoch 51/120 | Train Loss=0.6968 Acc=0.8872 | Val Loss=0.8651 Acc=0.6923
Fold 2 Epoch 52/120 | Train Loss=0.7026 Acc=0.8748 | Val Loss=1.5942 Acc=0.7000
Fold 2 Epoch 53/120 | Train Loss=0.6973 Acc=0.8821 | Val Loss=1.2033 Acc=0.7346
Fold 2 Epoch 54/120 | Train Loss=0.6614 Acc=0.9031 | Val Loss=1.3325 Acc=0.7115
Fold 2 Epoch 55/120 | Train Loss=0.6375 Acc=0.9125 | Val Loss=0.9141 Acc=0.7269
Fold 2 Epoch 56/120 | Train Loss=0.6613 Acc=0.8975 | Val Loss=1.0844 Acc=0.7231
Fold 2 Epoch 57/120 | Train Loss=0.6211 Acc=0.9237 | Val Loss=0.9270 Acc=0.7346
Fold 2 Epoch 58/120 | Train Loss=0.6454 Acc=0.9202 | Val Loss=0.8825 Acc=0.7308
Fold 2 Epoch 59/120 | Train Loss=0.6347 Acc=0.9215 | Val Loss=1.0225 Acc=0.7462
Fold 2 Epoch 60/120 | Train Loss=0.5868 Acc=0.9335 | Val Loss=1.4398 Acc=0.7154
Fold 2 Epoch 61/120 | Train Loss=0.6272 Acc=0.9327 | Val Loss=1.2419 Acc=0.7269
Fold 2 Epoch 62/120 | Train Loss=0.5952 Acc=0.9481 | Val Loss=1.2462 Acc=0.7192
Fold 2 Epoch 63/120 | Train Loss=0.6009 Acc=0.9430 | Val Loss=1.2018 Acc=0.7346
Fold 2 Epoch 64/120 | Train Loss=0.5925 Acc=0.9507 | Val Loss=1.1913 Acc=0.7269
Fold 2 Epoch 65/120 | Train Loss=0.5949 Acc=0.9451 | Val Loss=1.4605 Acc=0.7308
Fold 2 Epoch 66/120 | Train Loss=0.6316 Acc=0.9374 | Val Loss=1.4090 Acc=0.7192
Fold 2 Epoch 67/120 | Train Loss=0.6271 Acc=0.9447 | Val Loss=1.2979 Acc=0.7423
Fold 2 Epoch 68/120 | Train Loss=0.6273 Acc=0.9533 | Val Loss=1.0473 Acc=0.7269
Fold 2 Epoch 69/120 | Train Loss=0.6292 Acc=0.9425 | Val Loss=1.0969 Acc=0.7346
Fold 2 Epoch 70/120 | Train Loss=0.6058 Acc=0.9511 | Val Loss=1.3244 Acc=0.7423
Fold 2 Epoch 71/120 | Train Loss=0.6096 Acc=0.9627 | Val Loss=1.2001 Acc=0.7385
Fold 2 Epoch 72/120 | Train Loss=0.5872 Acc=0.9597 | Val Loss=1.3722 Acc=0.7462
Fold 2 Epoch 73/120 | Train Loss=0.6142 Acc=0.9623 | Val Loss=1.2036 Acc=0.7462
Fold 2 Epoch 74/120 | Train Loss=0.6599 Acc=0.9430 | Val Loss=1.2762 Acc=0.7231
Fold 2 Epoch 75/120 | Train Loss=0.6756 Acc=0.9605 | Val Loss=1.3787 Acc=0.7077
Fold 2 Epoch 76/120 | Train Loss=0.6290 Acc=0.9438 | Val Loss=1.1806 Acc=0.7231
Fold 2 Epoch 77/120 | Train Loss=0.6225 Acc=0.9537 | Val Loss=1.0380 Acc=0.7385
Fold 2 Epoch 78/120 | Train Loss=0.5826 Acc=0.9593 | Val Loss=1.1120 Acc=0.7423
Fold 2 Epoch 79/120 | Train Loss=0.6170 Acc=0.9550 | Val Loss=1.3652 Acc=0.7385
Fold 2 Epoch 80/120 | Train Loss=0.6054 Acc=0.9644 | Val Loss=1.3706 Acc=0.7462
Fold 2 Epoch 81/120 | Train Loss=0.5942 Acc=0.9636 | Val Loss=1.3435 Acc=0.7423
Fold 2 Epoch 82/120 | Train Loss=0.5777 Acc=0.9713 | Val Loss=1.2666 Acc=0.7385
Fold 2 Epoch 83/120 | Train Loss=0.6198 Acc=0.9640 | Val Loss=1.4293 Acc=0.7462
Fold 2 Epoch 84/120 | Train Loss=0.6011 Acc=0.9713 | Val Loss=1.3289 Acc=0.7423
Fold 2 Epoch 85/120 | Train Loss=0.6396 Acc=0.9670 | Val Loss=1.3640 Acc=0.7192
Fold 2 Epoch 86/120 | Train Loss=0.6415 Acc=0.9648 | Val Loss=1.5047 Acc=0.7231
Fold 2 Epoch 87/120 | Train Loss=0.6103 Acc=0.9691 | Val Loss=1.3333 Acc=0.7500
Fold 2 Epoch 88/120 | Train Loss=0.5782 Acc=0.9674 | Val Loss=1.5463 Acc=0.7462
Fold 2 Epoch 89/120 | Train Loss=0.5765 Acc=0.9756 | Val Loss=1.6227 Acc=0.7231
Fold 2 Epoch 90/120 | Train Loss=0.5820 Acc=0.9696 | Val Loss=1.2996 Acc=0.7500
